Date,Type,New Plan,Notes,Due
Jan 12,Intro,Syllabus / Shadow Syllabus,Welcome,
Jan 14,Intro,How to Read a Book/ Why Study History of Digital Media?/Reading Material Overview,,Last day to register: Jan 16
Jan 19,,Official School Holiday (MLK Day),No Class,
Jan 21,Basic concept ,Critical Reading /Encoding Decoding ,,
Jan 26,Basic concept ,"Speculative everything/Doing More with Less
Informed Speculation as Method",,
Jan 28,Legacy media ,Work of Art in the Age of Mechanical Reproduction ,,Sign up for Discussion Lead
Feb 2,Legacy media ,Modernist Painting/rhetoric of image, ,
Feb 4,Legacy media ,On Photography- introduction,,First Half Term Withdraw Deadline:Feb 6
Feb 9,Legacy media ,The ontology of photographic image/ the myth of total cinema,,
Feb 11,Legacy media ,Woman as sign/ the visual pleasure and narrative cinema.,,Creative Reflection Due Feb 15 8PM
Feb 16,Assignment ,Creative Reflection Presentations,In Class,
Feb 18,Assignment ,Creative Reflection Presentations,In Class,
Feb 23,Legacy media ,Machinic Intimacies and Mechanical Brides: Collectivity between Prosthesis and Surrogacy in Jonathan Mostow’s Surrogates and Spike Jonze’s Her,,
Feb 25,Legacy media ,"The technology and the society/ Manufacturing Consent: The Political Economy of the Mass Media
Chapter: A Propaganda Model ",,
Mar 2,Transformation,Medium is the message/Culture of Technology,,
Mar 4,Transformation,"Remediation: Understanding new media.
Chapter: Introduction- The double logic of  remediation./New Media and the Permanent Crisis of Aura/",,
Mar 9,Transformation,"Hamlet on the Holodeck- the future of Narrative in cyberspace
Introduction & Chapter: From additive to expressive form",,
Mar 11,Assignment ,Decoding Art Presentations,Online,
Mar 16,Assignment ,Decoding Art Presentations,Online,
Mar 18,Assignment ,Decoding Art Presentations,Online,Withdrawal deadline. Last day to withdraw from a single course or from school with W grades for Spring Semester 2026 by 11:59 PM Eastern Time. Students must withdraw from all classes in order to receive a refund
Mar 23,,Spring Break,No Class,
Mar 25,,Spring Break,No Class,
Mar 30,New media ,As we may think/ the language of new media.,,
Apr 1,New media ,"Life on the screen- identity in the age of the internet
Chapter: Introduction",,Sign up for Final Paper Groups
Apr 6,New media,"Watch Me Play: Twitch and the Rise of Game Live Streaming
Chapter: Live Streaming as Media",,
Apr 8,New media,"Convergence Culture- where old and new media collide
Chapter: Introduction  ",,
Apr 13,New media,"Homo Ludens- a study of the play-element in culture
Chapter: Nature and Significance of  Play as a Cultural Phenomenon/ Persuasive Game- the expressive power of video games Chapter: Procedural rhetoric",,
Apr 15,New media,"Algorithms of Oppression: How Search Engines Reinforce Racism
Chapter: Introduction", ,
Apr 20,New media,On the Dangers of Stochastic Parrots:  Can Language Models Be Too Big?, ,
Apr 22,Assignment ,Final Paper Studio,Online,
Apr 27,Assignment ,Final Paper Studio,Online,
May 7,,,,